customer_id,first_name,last_name,email,store_id,total_rentals,total_spent,last_rental_date
24,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,2,625,2393.75,"2005-08-22 21:28:59"
25,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,1,841,3355.59,"2005-08-23 20:00:30"
26,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,2,1156,5190.44,"2005-08-23 11:16:29"
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,2,961,3927.39,"2005-08-22 10:00:04"
28,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,1,1024,3573.76,"2006-02-14 15:16:03"
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,2,1296,5063.04,"2006-02-14 15:16:03"
30,MELISSA,KING,MELISSA.KING@sakilacustomer.org,1,1156,4204.44,"2005-08-23 15:17:14"
31,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,2,676,2723.24,"2005-08-23 14:58:06"
32,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,1,841,3703.59,"2005-08-21 16:32:32"
33,ANNA,HILL,ANNA.HILL@sakilacustomer.org,2,441,1927.59,"2006-02-14 15:16:03"
34,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,2,576,2154.24,"2005-08-21 20:54:32"
35,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,2,1024,4149.76,"2005-08-21 22:25:09"
36,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,2,729,2503.71,"2005-08-23 08:42:40"
37,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,1,529,2202.71,"2005-08-23 22:08:04"
38,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,1,1156,4340.44,"2005-08-23 11:55:50"
39,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,1,841,4109.59,"2005-08-22 12:51:38"
40,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,2,729,2989.71,"2005-08-22 16:06:49"
41,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,1,625,2968.75,"2006-02-14 15:16:03"
42,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,2,900,3531.00,"2006-02-14 15:16:03"
43,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,2,576,2394.24,"2006-02-14 15:16:03"
44,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,1,676,2983.24,"2006-02-14 15:16:03"
45,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,1,729,3448.71,"2005-08-23 22:13:04"
46,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,2,1156,4850.44,"2005-08-23 12:47:26"
47,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,1,484,2393.16,"2005-08-23 15:39:18"
48,ANN,EVANS,ANN.EVANS@sakilacustomer.org,1,289,1306.11,"2005-08-22 17:27:23"
49,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,2,784,3660.16,"2005-08-21 20:02:18"
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,1,1225,5937.75,"2005-08-23 21:25:03"
51,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,1,1089,4576.11,"2005-08-22 04:31:50"
52,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,1,841,3123.59,"2006-02-14 15:16:03"
53,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,1,900,3471.00,"2006-02-14 15:16:03"
54,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,1,841,3732.59,"2005-08-23 05:20:36"
55,DORIS,REED,DORIS.REED@sakilacustomer.org,2,484,2217.16,"2005-08-22 19:37:20"
56,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,1,900,4071.00,"2006-02-14 15:16:03"
57,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,2,784,3212.16,"2005-08-23 16:24:24"
58,JEAN,BELL,JEAN.BELL@sakilacustomer.org,1,729,3124.71,"2006-02-14 15:16:03"
59,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,1,729,3610.71,"2005-08-23 17:33:04"
60,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,1,625,2468.75,"2006-02-14 15:16:03"
61,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,2,196,824.04,"2005-08-23 09:35:34"
62,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,1,529,1949.71,"2005-08-23 06:11:52"
63,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,1,625,2818.75,"2005-08-22 17:30:25"
64,JUDITH,COX,JUDITH.COX@sakilacustomer.org,2,1089,3322.11,"2006-02-14 15:16:03"
65,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,2,484,2283.16,"2005-08-21 09:08:51"
66,JANICE,WARD,JANICE.WARD@sakilacustomer.org,2,1156,4918.44,"2005-08-23 06:23:26"
67,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,1,484,2195.16,"2005-08-22 11:19:22"
68,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,1,484,2085.16,"2005-08-23 03:36:26"
69,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,2,625,2418.75,"2006-02-14 15:16:03"
70,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,2,324,1454.76,"2005-08-23 07:06:38"
71,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,1,900,3891.00,"2005-08-23 20:44:36"
72,THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,2,900,2991.00,"2005-08-22 13:57:55"
73,BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,2,576,2346.24,"2006-02-14 15:16:03"
74,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,1,729,2800.71,"2005-08-23 22:26:47"
75,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,2,1681,6379.19,"2006-02-14 15:16:03"
76,IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,2,529,1788.71,"2005-08-23 05:17:23"
77,JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,2,784,2820.16,"2005-08-22 21:34:00"
78,LORI,WOOD,LORI.WOOD@sakilacustomer.org,1,961,4392.39,"2005-08-23 22:18:51"
79,RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,1,484,1865.16,"2005-08-21 03:14:27"
80,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,1,900,4131.00,"2006-02-14 15:16:03"
81,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,1,484,2063.16,"2005-08-23 16:45:28"
82,KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,1,676,3399.24,"2005-08-23 03:12:54"
83,LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,1,625,2543.75,"2006-02-14 15:16:03"
84,SARA,PERRY,SARA.PERRY@sakilacustomer.org,2,1089,4675.11,"2005-08-22 18:16:50"
85,ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,2,529,2018.71,"2005-08-20 10:25:12"
86,JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,2,1089,4906.11,"2005-08-23 18:45:06"
87,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,1,900,4371.00,"2006-02-14 15:16:03"
88,BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,2,441,1843.59,"2005-08-23 17:13:01"
89,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,1,1024,4309.76,"2005-08-23 15:38:34"
90,RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,2,784,3100.16,"2005-08-23 09:16:39"
91,LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,2,1225,3977.75,"2006-02-14 15:16:03"
92,TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,2,784,3744.16,"2005-08-22 07:53:14"
93,PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,1,529,2110.71,"2005-08-23 17:48:30"
94,NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org,1,441,1675.59,"2006-02-14 15:16:03"
95,PAULA,BRYANT,PAULA.BRYANT@sakilacustomer.org,2,324,1400.76,"2005-08-21 03:51:52"
96,DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,1,729,2854.71,"2005-08-23 20:24:36"
97,ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,2,324,1058.76,"2005-08-22 08:20:15"
98,LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,1,625,2668.75,"2005-08-23 03:58:28"
99,EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org,2,576,2202.24,"2006-02-14 15:16:03"
100,ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,1,576,2466.24,"2006-02-14 15:16:03"
101,PEGGY,MYERS,PEGGY.MYERS@sakilacustomer.org,1,576,2322.24,"2006-02-14 15:16:03"
102,CRYSTAL,FORD,CRYSTAL.FORD@sakilacustomer.org,1,1089,4543.11,"2005-08-23 21:59:26"
103,GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,1,961,4547.39,"2005-08-23 22:43:07"
104,RITA,GRAHAM,RITA.GRAHAM@sakilacustomer.org,1,576,2226.24,"2005-08-22 15:52:57"
105,DAWN,SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,1,676,3139.24,"2005-08-23 14:27:07"
106,CONNIE,WALLACE,CONNIE.WALLACE@sakilacustomer.org,1,529,2317.71,"2005-08-22 14:27:37"
107,FLORENCE,WOODS,FLORENCE.WOODS@sakilacustomer.org,1,900,3801.00,"2006-02-14 15:16:03"
108,TRACY,COLE,TRACY.COLE@sakilacustomer.org,1,900,3981.00,"2006-02-14 15:16:03"
109,EDNA,WEST,EDNA.WEST@sakilacustomer.org,2,676,2801.24,"2005-08-23 09:23:36"
110,TIFFANY,JORDAN,TIFFANY.JORDAN@sakilacustomer.org,2,196,838.04,"2005-08-22 22:28:36"
111,CARMEN,OWENS,CARMEN.OWENS@sakilacustomer.org,1,676,2541.24,"2006-02-14 15:16:03"
112,ROSA,REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,2,900,4011.00,"2005-08-23 12:47:05"
113,CINDY,FISHER,CINDY.FISHER@sakilacustomer.org,2,841,3297.59,"2005-08-23 13:18:16"
114,GRACE,ELLIS,GRACE.ELLIS@sakilacustomer.org,2,1089,4609.11,"2006-02-14 15:16:03"
115,WENDY,HARRISON,WENDY.HARRISON@sakilacustomer.org,1,900,2751.00,"2006-02-14 15:16:03"
116,VICTORIA,GIBSON,VICTORIA.GIBSON@sakilacustomer.org,1,729,3016.71,"2005-08-22 04:44:09"
117,EDITH,MCDONALD,EDITH.MCDONALD@sakilacustomer.org,1,361,1364.39,"2005-08-23 00:26:52"
118,KIM,CRUZ,KIM.CRUZ@sakilacustomer.org,1,441,1738.59,"2005-08-23 11:33:25"
119,SHERRY,MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,1,1156,5224.44,"2005-08-23 21:52:56"
120,SYLVIA,ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,2,1024,4597.76,"2006-02-14 15:16:03"
121,JOSEPHINE,GOMEZ,JOSEPHINE.GOMEZ@sakilacustomer.org,1,676,2853.24,"2005-08-23 22:20:26"
122,THELMA,MURRAY,THELMA.MURRAY@sakilacustomer.org,1,1024,4053.76,"2005-08-21 19:51:09"
123,SHANNON,FREEMAN,SHANNON.FREEMAN@sakilacustomer.org,2,576,2418.24,"2005-08-23 13:51:57"
124,SHEILA,WELLS,SHEILA.WELLS@sakilacustomer.org,1,324,1328.76,"2005-08-23 21:45:02"
125,ETHEL,WEBB,ETHEL.WEBB@sakilacustomer.org,1,1024,4341.76,"2005-08-22 10:14:39"
126,ELLEN,SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,1,784,3296.16,"2005-08-23 21:02:43"
127,ELAINE,STEVENS,ELAINE.STEVENS@sakilacustomer.org,2,576,2586.24,"2005-08-23 11:40:30"
128,MARJORIE,TUCKER,MARJORIE.TUCKER@sakilacustomer.org,1,1024,4085.76,"2005-08-23 15:25:27"
129,CARRIE,PORTER,CARRIE.PORTER@sakilacustomer.org,1,1156,4238.44,"2005-08-22 06:46:59"
130,CHARLOTTE,HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,1,576,2250.24,"2005-08-23 13:29:08"
131,MONICA,HICKS,MONICA.HICKS@sakilacustomer.org,2,900,3861.00,"2005-08-23 22:20:40"
132,ESTHER,CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,2,784,2680.16,"2005-08-23 16:30:55"
133,PAULINE,HENRY,PAULINE.HENRY@sakilacustomer.org,1,729,2665.71,"2005-08-23 21:07:59"
134,EMMA,BOYD,EMMA.BOYD@sakilacustomer.org,1,529,2179.71,"2005-08-23 19:42:46"
135,JUANITA,MASON,JUANITA.MASON@sakilacustomer.org,2,900,3321.00,"2006-02-14 15:16:03"
136,ANITA,MORALES,ANITA.MORALES@sakilacustomer.org,2,225,942.75,"2005-08-23 00:34:28"
137,RHONDA,KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,2,1521,7589.79,"2005-08-23 21:56:04"
138,HAZEL,WARREN,HAZEL.WARREN@sakilacustomer.org,1,1156,3762.44,"2005-08-23 02:39:56"
139,AMBER,DIXON,AMBER.DIXON@sakilacustomer.org,1,729,3070.71,"2005-08-23 12:12:05"
140,EVA,RAMOS,EVA.RAMOS@sakilacustomer.org,1,324,1508.76,"2005-08-23 15:47:02"
141,DEBBIE,REYES,DEBBIE.REYES@sakilacustomer.org,1,1024,4181.76,"2005-08-23 19:45:25"
142,APRIL,BURNS,APRIL.BURNS@sakilacustomer.org,1,676,2463.24,"2006-02-14 15:16:03"
143,LESLIE,GORDON,LESLIE.GORDON@sakilacustomer.org,1,484,1975.16,"2005-08-23 21:54:02"
144,CLARA,SHAW,CLARA.SHAW@sakilacustomer.org,1,1764,8214.36,"2005-08-23 12:43:30"
145,LUCILLE,HOLMES,LUCILLE.HOLMES@sakilacustomer.org,1,784,3044.16,"2005-08-21 10:15:20"
146,JAMIE,RICE,JAMIE.RICE@sakilacustomer.org,1,841,4051.59,"2005-08-23 15:36:05"
147,JOANNE,ROBERTSON,JOANNE.ROBERTSON@sakilacustomer.org,2,1156,4340.44,"2005-08-23 20:53:20"
148,ELEANOR,HUNT,ELEANOR.HUNT@sakilacustomer.org,1,2116,9960.84,"2005-08-23 05:57:04"
149,VALERIE,BLACK,VALERIE.BLACK@sakilacustomer.org,1,676,3165.24,"2005-08-23 05:04:33"
150,DANIELLE,DANIELS,DANIELLE.DANIELS@sakilacustomer.org,2,625,2643.75,"2005-08-21 19:47:55"
151,MEGAN,PALMER,MEGAN.PALMER@sakilacustomer.org,2,729,2503.71,"2005-08-23 20:31:38"
152,ALICIA,MILLS,ALICIA.MILLS@sakilacustomer.org,1,441,1759.59,"2006-02-14 15:16:03"
153,SUZANNE,NICHOLS,SUZANNE.NICHOLS@sakilacustomer.org,2,576,2274.24,"2005-08-23 06:15:09"
154,MICHELE,GRANT,MICHELE.GRANT@sakilacustomer.org,2,900,3921.00,"2005-08-23 11:16:16"
155,GAIL,KNIGHT,GAIL.KNIGHT@sakilacustomer.org,1,625,2743.75,"2006-02-14 15:16:03"
156,BERTHA,FERGUSON,BERTHA.FERGUSON@sakilacustomer.org,1,625,2543.75,"2005-08-22 23:26:32"
157,DARLENE,ROSE,DARLENE.ROSE@sakilacustomer.org,2,961,3524.39,"2005-08-22 07:04:25"
158,VERONICA,STONE,VERONICA.STONE@sakilacustomer.org,1,1024,4053.76,"2005-08-23 14:26:51"
159,JILL,HAWKINS,JILL.HAWKINS@sakilacustomer.org,1,441,1444.59,"2005-08-22 16:14:25"
160,ERIN,DUNN,ERIN.DUNN@sakilacustomer.org,2,729,2881.71,"2005-08-23 21:49:33"
161,GERALDINE,PERKINS,GERALDINE.PERKINS@sakilacustomer.org,1,900,3381.00,"2005-08-22 23:55:51"
162,LAUREN,HUDSON,LAUREN.HUDSON@sakilacustomer.org,2,400,1436.00,"2006-02-14 15:16:03"
163,CATHY,SPENCER,CATHY.SPENCER@sakilacustomer.org,1,841,3558.59,"2006-02-14 15:16:03"
164,JOANN,GARDNER,JOANN.GARDNER@sakilacustomer.org,2,256,1069.44,"2005-08-20 00:30:51"
165,LORRAINE,STEPHENS,LORRAINE.STEPHENS@sakilacustomer.org,2,441,1822.59,"2005-08-23 15:23:50"
166,LYNN,PAYNE,LYNN.PAYNE@sakilacustomer.org,1,784,3464.16,"2005-08-23 14:31:50"
167,SALLY,PIERCE,SALLY.PIERCE@sakilacustomer.org,2,1024,3829.76,"2005-08-23 17:52:01"
168,REGINA,BERRY,REGINA.BERRY@sakilacustomer.org,1,1156,4612.44,"2006-02-14 15:16:03"
169,ERICA,MATTHEWS,ERICA.MATTHEWS@sakilacustomer.org,2,484,2107.16,"2005-08-23 09:33:22"
170,BEATRICE,ARNOLD,BEATRICE.ARNOLD@sakilacustomer.org,1,676,3113.24,"2005-08-23 04:27:06"
171,DOLORES,WAGNER,DOLORES.WAGNER@sakilacustomer.org,2,676,2983.24,"2005-08-23 14:43:15"
172,BERNICE,WILLIS,BERNICE.WILLIS@sakilacustomer.org,1,1089,4807.11,"2005-08-23 22:14:31"
173,AUDREY,RAY,AUDREY.RAY@sakilacustomer.org,1,841,3471.59,"2005-08-23 21:10:24"
174,YVONNE,WATKINS,YVONNE.WATKINS@sakilacustomer.org,2,441,1948.59,"2005-08-23 20:06:23"
175,ANNETTE,OLSON,ANNETTE.OLSON@sakilacustomer.org,1,576,2370.24,"2006-02-14 15:16:03"
176,JUNE,CARROLL,JUNE.CARROLL@sakilacustomer.org,1,1369,6424.31,"2005-08-23 18:36:44"
177,SAMANTHA,DUNCAN,SAMANTHA.DUNCAN@sakilacustomer.org,2,529,1650.71,"2005-08-22 03:55:02"
178,MARION,SNYDER,MARION.SNYDER@sakilacustomer.org,2,1521,7589.79,"2006-02-14 15:16:03"
179,DANA,HART,DANA.HART@sakilacustomer.org,1,841,3877.59,"2005-08-23 20:20:23"
180,STACY,CUNNINGHAM,STACY.CUNNINGHAM@sakilacustomer.org,2,529,2271.71,"2006-02-14 15:16:03"
181,ANA,BRADLEY,ANA.BRADLEY@sakilacustomer.org,2,1156,5938.44,"2006-02-14 15:16:03"
182,RENEE,LANE,RENEE.LANE@sakilacustomer.org,1,676,2541.24,"2005-08-22 09:49:32"
183,IDA,ANDREWS,IDA.ANDREWS@sakilacustomer.org,2,529,1765.71,"2005-08-20 03:35:16"
184,VIVIAN,RUIZ,VIVIAN.RUIZ@sakilacustomer.org,1,529,2087.71,"2005-08-23 06:56:18"
185,ROBERTA,HARPER,ROBERTA.HARPER@sakilacustomer.org,1,529,1949.71,"2005-08-21 14:51:35"
186,HOLLY,FOX,HOLLY.FOX@sakilacustomer.org,2,961,3555.39,"2006-02-14 15:16:03"
187,BRITTANY,RILEY,BRITTANY.RILEY@sakilacustomer.org,2,784,4472.16,"2005-08-23 19:59:33"
188,MELANIE,ARMSTRONG,MELANIE.ARMSTRONG@sakilacustomer.org,1,625,2318.75,"2006-02-14 15:16:03"
189,LORETTA,CARPENTER,LORETTA.CARPENTER@sakilacustomer.org,1,484,2063.16,"2005-08-23 21:04:51"
190,YOLANDA,WEAVER,YOLANDA.WEAVER@sakilacustomer.org,2,729,2989.71,"2006-02-14 15:16:03"
191,JEANETTE,GREENE,JEANETTE.GREENE@sakilacustomer.org,1,400,1496.00,"2006-02-14 15:16:03"
192,LAURIE,LAWRENCE,LAURIE.LAWRENCE@sakilacustomer.org,1,529,2294.71,"2006-02-14 15:16:03"
193,KATIE,ELLIOTT,KATIE.ELLIOTT@sakilacustomer.org,2,625,2743.75,"2006-02-14 15:16:03"
194,KRISTEN,CHAVEZ,KRISTEN.CHAVEZ@sakilacustomer.org,2,324,1580.76,"2005-08-23 18:43:22"
195,VANESSA,SIMS,VANESSA.SIMS@sakilacustomer.org,1,361,1649.39,"2005-08-23 22:19:33"
196,ALMA,AUSTIN,ALMA.AUSTIN@sakilacustomer.org,1,1225,5307.75,"2005-08-23 20:10:13"
197,SUE,PETERS,SUE.PETERS@sakilacustomer.org,2,1600,6184.00,"2005-08-23 04:12:52"
198,ELSIE,KELLEY,ELSIE.KELLEY@sakilacustomer.org,2,1369,5240.31,"2005-08-23 00:27:18"
199,BETH,FRANKLIN,BETH.FRANKLIN@sakilacustomer.org,2,625,2593.75,"2006-02-14 15:16:03"
200,JEANNE,LAWSON,JEANNE.LAWSON@sakilacustomer.org,2,729,3691.71,"2006-02-14 15:16:03"
201,VICKI,FIELDS,VICKI.FIELDS@sakilacustomer.org,1,625,2718.75,"2005-08-23 20:06:04"
202,CARLA,GUTIERREZ,CARLA.GUTIERREZ@sakilacustomer.org,2,676,2697.24,"2005-08-23 13:22:56"
203,TARA,RYAN,TARA.RYAN@sakilacustomer.org,1,400,1776.00,"2005-08-23 20:27:34"
204,ROSEMARY,SCHMIDT,ROSEMARY.SCHMIDT@sakilacustomer.org,1,1225,5167.75,"2005-08-22 23:48:56"
205,EILEEN,CARR,EILEEN.CARR@sakilacustomer.org,2,324,1454.76,"2005-08-22 23:54:14"
206,TERRI,VASQUEZ,TERRI.VASQUEZ@sakilacustomer.org,1,729,3421.71,"2005-08-23 10:36:00"
207,GERTRUDE,CASTILLO,GERTRUDE.CASTILLO@sakilacustomer.org,1,1156,4680.44,"2005-08-23 07:25:29"
208,LUCY,WHEELER,LUCY.WHEELER@sakilacustomer.org,1,676,2385.24,"2006-02-14 15:16:03"
209,TONYA,CHAPMAN,TONYA.CHAPMAN@sakilacustomer.org,2,1024,5173.76,"2005-08-23 02:51:27"
210,ELLA,OLIVER,ELLA.OLIVER@sakilacustomer.org,2,961,4268.39,"2005-08-23 18:48:40"
211,STACEY,MONTGOMERY,STACEY.MONTGOMERY@sakilacustomer.org,1,1156,5156.44,"2006-02-14 15:16:03"
212,WILMA,RICHARDS,WILMA.RICHARDS@sakilacustomer.org,2,400,1836.00,"2005-08-23 18:05:10"
213,GINA,WILLIAMSON,GINA.WILLIAMSON@sakilacustomer.org,1,784,3128.16,"2006-02-14 15:16:03"
214,KRISTIN,JOHNSTON,KRISTIN.JOHNSTON@sakilacustomer.org,1,961,3617.39,"2006-02-14 15:16:03"
215,JESSIE,BANKS,JESSIE.BANKS@sakilacustomer.org,2,676,2385.24,"2006-02-14 15:16:03"
216,NATALIE,MEYER,NATALIE.MEYER@sakilacustomer.org,1,529,2202.71,"2006-02-14 15:16:03"
217,AGNES,BISHOP,AGNES.BISHOP@sakilacustomer.org,2,529,2271.71,"2005-08-22 19:02:48"
218,VERA,MCCOY,VERA.MCCOY@sakilacustomer.org,1,324,1220.76,"2005-08-23 05:30:19"
219,WILLIE,HOWELL,WILLIE.HOWELL@sakilacustomer.org,2,676,2645.24,"2006-02-14 15:16:03"
220,CHARLENE,ALVAREZ,CHARLENE.ALVAREZ@sakilacustomer.org,2,729,3097.71,"2005-08-23 10:32:52"
221,BESSIE,MORRISON,BESSIE.MORRISON@sakilacustomer.org,1,784,3716.16,"2005-08-22 12:53:22"
222,DELORES,HANSEN,DELORES.HANSEN@sakilacustomer.org,2,441,1927.59,"2005-08-21 08:58:38"
223,MELINDA,FERNANDEZ,MELINDA.FERNANDEZ@sakilacustomer.org,1,289,1374.11,"2005-08-23 08:52:50"
224,PEARL,GARZA,PEARL.GARZA@sakilacustomer.org,2,484,1689.16,"2005-08-23 19:11:29"
225,ARLENE,HARVEY,ARLENE.HARVEY@sakilacustomer.org,1,676,3139.24,"2005-08-21 12:07:25"
226,MAUREEN,LITTLE,MAUREEN.LITTLE@sakilacustomer.org,2,441,1843.59,"2005-08-23 22:06:15"
227,COLLEEN,BURTON,COLLEEN.BURTON@sakilacustomer.org,1,576,2106.24,"2006-02-14 15:16:03"
228,ALLISON,STANLEY,ALLISON.STANLEY@sakilacustomer.org,2,729,2503.71,"2006-02-14 15:16:03"
229,TAMARA,NGUYEN,TAMARA.NGUYEN@sakilacustomer.org,1,625,2343.75,"2006-02-14 15:16:03"
230,JOY,GEORGE,JOY.GEORGE@sakilacustomer.org,2,1089,4114.11,"2005-08-21 08:38:21"
231,GEORGIA,JACOBS,GEORGIA.JACOBS@sakilacustomer.org,1,676,2879.24,"2005-08-22 22:51:13"
232,CONSTANCE,REID,CONSTANCE.REID@sakilacustomer.org,2,625,2393.75,"2005-08-23 04:33:39"
233,LILLIE,KIM,LILLIE.KIM@sakilacustomer.org,2,529,2064.71,"2005-08-23 15:03:58"
